# idx t[s]
0 0
1 8e-13
2 1.6e-12
3 2.4000000000000003e-12
4 3.2e-12
5 4e-12
6 4.8000000000000005e-12
7 5.6e-12
8 6.4e-12
9 7.2e-12
10 8e-12
11 8.8e-12
12 9.600000000000001e-12
13 1.0400000000000001e-11
14 1.12e-11
15 1.2e-11
16 1.28e-11
17 1.36e-11
18 1.44e-11
19 1.52e-11
20 1.6e-11
21 1.68e-11
22 1.76e-11
23 1.84e-11
24 1.9200000000000002e-11
25 2.0000000000000002e-11
26 2.0800000000000002e-11
27 2.1600000000000002e-11
28 2.24e-11
29 2.32e-11
30 2.4e-11
31 2.48e-11
32 2.56e-11
33 2.64e-11
34 2.72e-11
35 2.8e-11
36 2.88e-11
37 2.96e-11
38 3.04e-11
39 3.12e-11
40 3.2e-11
41 3.28e-11
42 3.36e-11
43 3.44e-11
44 3.52e-11
45 3.6e-11
46 3.68e-11
47 3.76e-11
48 3.8400000000000004e-11
49 3.9200000000000004e-11
50 4.0000000000000004e-11
51 4.0800000000000004e-11
52 4.1600000000000004e-11
53 4.2400000000000004e-11
54 4.3200000000000003e-11
55 4.4e-11
56 4.48e-11
57 4.56e-11
58 4.64e-11
59 4.72e-11
60 4.8e-11
61 4.88e-11
62 4.96e-11
63 5.04e-11
64 5.12e-11
65 5.2e-11
66 5.28e-11
67 5.36e-11
68 5.44e-11
69 5.52e-11
70 5.6e-11
71 5.68e-11
72 5.76e-11
73 5.84e-11
74 5.92e-11
75 6e-11
76 6.08e-11
77 6.16e-11
78 6.24e-11
79 6.32e-11
80 6.4e-11
81 6.48e-11
82 6.56e-11
83 6.64e-11
84 6.72e-11
85 6.8e-11
86 6.88e-11
87 6.96e-11
88 7.04e-11
89 7.12e-11
90 7.2e-11
91 7.28e-11
92 7.36e-11
93 7.44e-11
94 7.52e-11
95 7.6e-11
96 7.680000000000001e-11
97 7.760000000000001e-11
98 7.840000000000001e-11
99 7.920000000000001e-11
100 8.000000000000001e-11
101 8.080000000000001e-11
102 8.160000000000001e-11
103 8.240000000000001e-11
104 8.320000000000001e-11
105 8.400000000000001e-11
106 8.480000000000001e-11
107 8.560000000000001e-11
108 8.640000000000001e-11
109 8.720000000000001e-11
110 8.8e-11
111 8.88e-11
112 8.96e-11
113 9.04e-11
114 9.12e-11
115 9.2e-11
116 9.28e-11
117 9.36e-11
118 9.44e-11
119 9.52e-11
120 9.6e-11
121 9.68e-11
122 9.76e-11
123 9.84e-11
124 9.92e-11
125 1e-10
126 1.008e-10
127 1.016e-10
128 1.024e-10
129 1.032e-10
130 1.04e-10
131 1.048e-10
132 1.056e-10
133 1.064e-10
134 1.072e-10
135 1.08e-10
